batch:1400,loss:7.831038475036621
batch:1500,loss:7.836245536804199
batch:1600,loss:7.702927589416504
batch:1700,loss:7.757493019104004
batch:1800,loss:7.5968918800354
batch:1900,loss:7.57590389251709
batch:2000,loss:7.6992573738098145
batch:2100,loss:7.511828422546387
batch:2200,loss:7.30427885055542
batch:2300,loss:7.528293609619141
batch:2400,loss:7.293488025665283
batch:2500,loss:7.282662868499756
batch:2600,loss:7.044703483581543
